doc_id,file_name,pages,images_found,images_processed,ocr_success_rate_pct,native_chars,ocr_chars,total_chars,ocr_contribution_pct,wer_pct,cer_pct,processing_time_sec,native_text,ocr_text
D01,Shawn-22CE88D-ID-Card (1).pdf,1,1,1,100.0,254,222,476,46.64,,,1.93,"PADRE  CONCEICAO COLLEGE OF  ENGINEERING 
Agnel Ashram, Verna,  Goa 403722 Ph: 0832-2791266/67 

NAME:Shawn  lgnace Rodrigues 

DEPT:Computer Engineering 
ROLL  NO.22CE88D 

PR.  NO.202208411 

2025 
","PADRE CONCEICAO COLLEGE OF ENGINEERING
Agnel Ashram, Verna, Goa 403722 Ph: 0832-2791266/67
NAME ‘Shawn Ignace Rodrigues o
DEPT: Computer Engineering x
— ROLL NO.22CE88D E
£6 oe tal PR. NO.202208411 é
"
D02,Triumph Speed 400 Scrambler 400 X Owners Handbook UK English 09-2023.pdf,180,1,1,100.0,273259,7,273266,0.0,,,11.31,"OWNER'S HANDBOOK 01

Speed 400 and Scrambler 400 X

This handbook contains information on the Triumph Speed 400 and Scrambler 400 X motorcycles. Always store this
Owner's Handbook with the motorcycle ",">= 6 O
"
D03,WhatsApp Image 2026-02-09 at 6.15.33 PM.pdf,1,1,1,100.0,1,281,282,99.65,,,0.44,,"4 ns rs
rs rPYOoOZ |
S35 Mh ee
ESP 4
aR OS >] ly % 3
a = |) a)
S Ses ze si/¥§
b oF oo a| co
= 5 < e oo Nw!
2 = No f=] = U9
Sm s w wd 0 =
£3 a = 3 a5
~ 8a ef §| 8&8
3 u< 2 se
G REZ & ©
wow 2
®
S
Oo a
r"
D04,WhatsApp Image 2026-02-09 at 6.15.34 PM.pdf,1,1,1,100.0,1,192,193,99.48,,,0.4,,"S a zo Panate: =
2 ""3 | # bade ar: | 9
8 g Sere ile) | S
2 tit 33
S =x >= [we]
2 2/8
° ‘@) NO
8's
o ®
a 0
< @
©
a
| > < &
eg 2 2
4 <s
= ¢
$< if
a
28 f ‘ 3
i a Z
z wd
3 : .
Z
Form 7 Rule 16(2)
"
D05,day5 notes.pdf,7,7,7,100.0,7,4611,4618,99.85,,,11.03,,"> >,
—— Nig indexes 80 _colyarns vomit
Te= pid st foo Many indexes, sD
7 “Weibya indexes vwhh at Weg
— sequataol and rNowmeve. hcse KL
_  etonytdar 453 Mecduded solunw ¢
— | Bae dicat 1a , % of mentah"
D06,extending.pdf,115,0,0,N/A,264497,0,264497,0.0,,,4.3,"Extending and Embedding Python
Release 3.13.0

Guido van Rossum and the Python development team

November 03, 2024

Python Software Foundation
Email: docs@python.org

CONTENTS

1 Recommended third p",
D07,faq.pdf,125,0,0,N/A,303113,0,303113,0.0,,,5.44,"Python Frequently Asked Questions
Release 3.13.0

Guido van Rossum and the Python development team

November 03, 2024

Python Software Foundation
Email: docs@python.org

CONTENTS

1 General Python F",
D08,golang.pdf,15,15,15,100.0,15,9978,9993,99.85,,,23.85,,"_——— CC ___§__ cc ne ee a
§ MTéWT EF 5
12939 4 6 § 7
1617 18 19 a0 SS '26
2 23 24 25 28 27 8 Jan 0]
ott ; Thursday
(To, fmb Pninkdn (Cs HE)
2 Howe do un, a : > oe ae
———teamwinal  navigake to pa at
Co"
D09,handwriting_20260328_005631_via_10015_io.pdf,1,1,1,100.0,1,1412,1413,99.93,,,0.85,,"Ruby i> A high-level, interpreted Programming language created boy Yukihiro
Matsumoto in the mid-\9905. It was designed with the goal of making Programming,
Simele, natural, And @nyoyalole, £ollowing "
D10,howto-annotations.pdf,5,0,0,N/A,8929,0,8929,0.0,,,0.15,"Annotations Best Practices

Release 3.13.0

Guido van Rossum and the Python development team

November 03, 2024

Python Software Foundation
Email: docs@python.org

Contents

1 Accessing The Annotation",
